,track_id,artist_id,track_title,artists,popularity
124,65M92JpTbAdHmTQm4jGaDa,4YLtscXsxbVgi031ovDDdh,think i'm in love with you,chris stapleton,72
126,1C84d9abZVKWHT2YYpoean,0pePYDrJGk8gqMRbXrLJC8,si no quieres no,luis r conriquez,88
127,22DH8NChecsgPxDjA4pqer,0VRj0yCOv2FXJNP47XQnx5,tough,quavo,88
128,77DRzu7ERs0TX3roZcre7Q,2YZyLoL8N0Wb9xBt1NhZWg,euphoria,kendrick lamar,85
129,1TgStpMGTflN84asKJ8VU3,3DbwFQlvLxRSi2uX8mf81A,u my everything,sexyy red,76
130,4IFd7EVCyJsUHesBMXI8ju,0YinUQ50QDB7ZxSCLyQ40k,parking lot,mustard,82
131,5uQ7de4EWjb3rkcFxyEOpu,11p2E654TTU8e0nZWBR4AL,belong together,mark ambor,91
132,2PgjJ90q1zETqCX68dxgyd,1Tie3AZgLQZqYEp8Fv4zOZ,sweet dreams,koe wetzel,74
133,4KWeGKChLKcnZsj3sIOSkW,7dGJo4pcD2V6oG8kP0tJRR,tobey,eminem,80
134,2ObBVRY8a2lnAkNG62u9eC,6x2LnllRG5uGarZMsD4iO8,beautiful as you,thomas rhett,74
136,4HMUrFl8y6rQCzEbaGEkcj,7dGJo4pcD2V6oG8kP0tJRR,somebody save me,eminem,82
137,7gdAgbYxtwwXsWsItU1apk,26VFTg2z8YR0cCuwLzESi2,lucky,halsey,74
138,4ENmnZWhNTEiJpT25y7F1h,12GqGscKJx3aE4t07u7eVZ,la patrulla,peso pluma,76
139,4JfpJrrGNXRj2yXm1fYV23,73sIBHcqh3Z3NyqHKZ7FOL,lithonia,childish gambino,77
140,5AH31dDNgxCMGDdxubNNn4,0ys2OFYzWYB5hRDLCsBqxt,nel,fuerza regida,78
141,72kGuWpRiuA149Bn5lDkIO,0ChjBYedhZTQnWZWQYg15U,we ride,bryan martin,80
142,7z3PblAN3dH1JMewiRydkZ,2tIP7SsRs7vjIcLrU85W8J,girls,the kid laroi,84
143,2dono2Koz7DEvGwxUsmMLq,5b5bt4mZQpJMoCRbiQ7diH,linger - siriusxm session,royel otis,80
144,2DVHIJA2bLas9cGLmHmUsY,4sCKpwwEsgReZxjtKFm2A0,wine into whiskey,tucker wetmore,51
145,0e1KTuawmiFLiK0Lh3nNtM,39af15p0feaAOdL9DTRj3m,okay,jt,69
146,1vj47xD8v9wIhQrmQY2Dkv,40ZNYROS4zLfyyBSs2PGe2,better days,zach bryan,79
147,5496lks6V3fh1mZAB6IAap,5MraexJKZDrQYzS98kNwie,alibi,sevdaliza,92
148,6WTFHKrnZpwEBLRS10Ylqs,6USv9qhCn6zfxlBQIYJ9qs,misses,dominic fike,85
149,4boa7Bv0VijpxoP1SHjjUb,6IKlXZEFOvk9itrP1s0knJ,wanna be loved,the red clay strays,74
165,4q5YezDOIPcoLr8R81x9qy,06HL4z0CvFAxyc27GXpf02,i can do it with a broken heart,taylor swift,87
167,1BJJbSX6muJVF2AK7uH1x4,2loEsOijJ6XiGzWYFXMIRk,move,adam port,90
171,4NJqhmkGN042BrvHoMKUrJ,7Ez6lTtSMjMf2YSYpukP1I,austin,dasha,31
173,3qhlB30KknSejmIvZZLjOD,5p9HO3XC5P3BLxJs5Mtrhm,end of beginning,djo,92
174,331l3xABO0HMr1Kkyh2LZq,1Cs0zKBU1kc0i8ypK3B9ai,i don't wanna wait,david guetta,90
181,0h3Xy4V4apMraB5NuM8U7Z,11kt6ggsdxvI8MhyeSMKom,stumblin' in,cyril,89
186,2OzhQlSqBEmt7hmkYxfT6m,06HL4z0CvFAxyc27GXpf02,fortnight,taylor swift,90
189,7CyPwkp0oE8Ro9Dd5CUDjW,1Xyo4u8uXC1ZmMpatF05PJ,one of the girls,the weeknd,91
190,3rUGC1vUpkDG9CZFHMur1t,45dkTj5sMRSjrmBSBeiHym,greedy,tate mcrae,89
197,6vvPecFTmWxDfEJ6cYT1wa,5L1lO4eRHmJ7a0Q6csE5cT,rockstar,lisa,92
198,5bi0gh89wRuH2OgjdAKFsb,1fctva4kpRbg2k3v7kwRuS,santa,rvssian,87
