Draw Date,WinningNumbers1,WinningNumbers2,WinningNumbers3,WinningNumbers4,WinningNumbers5,Mega Ball,Multiplier
7/9/21,06,37,39,41,46,17,2
7/6/21,18,47,63,68,69,14,3
7/2/21,08,31,32,34,45,19,2
6/29/21,07,38,50,52,69,21,3
6/25/21,17,20,42,45,65,12,4
6/22/21,01,26,48,51,59,25,4
6/18/21,14,36,44,46,53,18,2
6/15/21,18,22,27,38,52,11,4
6/11/21,04,43,56,63,68,13,4
6/8/21,09,22,39,41,54,19,3
6/4/21,04,30,34,41,64,8,3
6/1/21,07,11,33,58,63,23,2
5/28/21,10,14,20,47,70,15,2
5/25/21,14,21,31,34,54,11,3
5/21/21,06,09,17,18,48,8,3
5/18/21,03,05,56,61,66,4,2
5/14/21,03,18,41,44,68,3,2
5/11/21,07,08,20,36,39,22,3
5/7/21,05,10,19,21,50,10,4
5/4/21,04,27,32,57,63,22,3
4/30/21,08,19,26,48,49,5,3
4/27/21,15,22,30,41,42,25,4
4/23/21,04,28,29,30,60,25,3
4/20/21,06,23,43,49,52,5,3
4/16/21,17,27,28,50,55,25,4
4/13/21,10,15,19,45,68,9,4
4/9/21,22,26,27,58,66,12,2
4/6/21,01,19,20,32,42,17,3
4/2/21,10,42,48,53,62,19,2
3/30/21,11,37,47,53,56,15,3
3/26/21,04,25,37,46,67,15,3
3/23/21,12,23,35,38,55,11,2
3/19/21,09,14,40,58,69,8,3
3/16/21,10,41,46,52,69,8,2
3/12/21,02,24,25,31,65,18,4
3/9/21,04,33,46,58,65,13,2
3/5/21,10,11,17,27,54,20,2
3/2/21,04,08,13,34,64,18,2
2/26/21,11,15,37,62,64,5,2
2/23/21,05,07,09,20,57,15,3
2/19/21,27,32,47,50,53,4,4
2/16/21,01,36,44,54,66,10,3
2/12/21,05,14,24,25,27,14,3
2/9/21,07,18,21,31,40,9,4
2/5/21,14,17,28,29,44,2,4
2/2/21,13,37,38,40,67,10,2
1/29/21,04,44,58,59,70,3,3
1/26/21,29,49,56,66,67,24,3
1/22/21,04,26,42,50,60,24,2
1/19/21,10,19,26,28,50,16,2
1/15/21,03,11,12,38,43,15,4
1/12/21,12,14,26,28,33,9,2
1/8/21,03,06,16,18,58,11,2
1/5/21,20,43,51,55,57,4,2
1/1/21,08,24,53,68,69,7,5
12/29/20,01,31,35,48,62,19,3
12/25/20,17,23,36,69,70,19,2
12/22/20,29,53,56,59,67,21,2
12/18/20,07,15,25,51,60,5,3
12/15/20,01,10,18,20,46,15,2
12/11/20,19,31,37,55,67,25,4
12/8/20,15,19,33,39,68,25,3
12/4/20,03,19,24,44,50,8,3
12/1/20,07,33,53,61,65,14,2
11/27/20,04,10,27,35,58,10,2
11/24/20,09,15,34,61,64,6,2
11/20/20,26,33,45,61,68,17,3
11/17/20,08,13,35,46,68,16,3
11/13/20,06,07,14,28,59,7,2
11/10/20,23,45,53,58,62,13,5
11/6/20,18,24,27,34,60,2,2
11/3/20,07,31,44,45,55,19,3
10/30/20,14,19,34,39,59,11,2
10/27/20,06,13,34,46,62,1,3
10/23/20,18,34,44,60,69,22,2
10/20/20,46,54,57,58,66,10,3
10/16/20,27,32,50,52,57,12,5
10/13/20,11,44,45,46,70,25,2
10/9/20,05,11,25,27,64,13,2
10/6/20,15,16,18,39,59,17,3
10/2/20,09,38,47,49,68,25,2
9/29/20,14,39,43,44,67,19,3
9/25/20,20,36,37,48,67,16,2
9/22/20,36,43,44,55,68,12,4
9/18/20,26,29,41,52,64,11,3
9/15/20,25,28,38,59,62,22,4
9/11/20,03,15,42,48,56,13,2
9/8/20,07,10,15,31,57,21,2
9/4/20,19,22,24,28,53,25,3
9/1/20,15,25,26,38,47,22,4
8/28/20,03,09,50,53,64,1,3
8/25/20,08,10,15,17,57,12,3
8/21/20,11,15,31,42,63,14,2
8/18/20,04,18,26,27,58,23,4
8/14/20,03,24,29,42,47,13,2
8/11/20,08,22,29,43,56,9,4
8/7/20,04,44,53,64,70,3,2
8/4/20,02,22,30,42,62,20,3
7/31/20,12,35,46,48,69,23,2
7/28/20,17,20,27,31,34,19,4
7/24/20,08,33,39,54,58,17,3
7/21/20,14,25,26,41,43,15,3
7/17/20,12,13,21,46,57,21,3
7/14/20,06,26,55,56,64,22,4
7/10/20,10,15,20,49,53,22,5
7/7/20,16,20,25,30,43,18,3
7/3/20,20,40,44,45,50,24,2
6/30/20,09,16,29,37,53,11,2
6/26/20,19,33,37,56,57,6,2
6/23/20,06,20,37,40,48,15,3
6/19/20,11,34,36,52,66,7,2
6/16/20,21,23,33,35,42,6,3
6/12/20,09,14,57,67,70,2,3
6/9/20,01,05,09,10,23,22,2
6/5/20,32,35,37,47,55,22,3
6/2/20,09,20,23,26,29,8,3
5/29/20,10,13,32,41,51,3,2
5/26/20,34,52,58,59,62,4,3
5/22/20,08,10,20,44,46,18,4
5/19/20,08,19,25,36,66,9,2
5/15/20,11,17,32,33,46,25,3
5/12/20,07,16,27,44,52,5,5
5/8/20,05,20,22,61,70,4,2
5/5/20,07,13,17,21,45,14,2
5/1/20,28,30,31,35,66,14,2
4/28/20,13,19,53,54,63,17,3
4/24/20,01,27,32,60,67,18,2
4/21/20,13,15,24,67,70,17,2
4/17/20,13,35,39,46,55,14,4
4/14/20,29,47,65,69,70,7,4
4/10/20,02,11,21,57,60,13,2
4/7/20,25,33,43,51,68,20,2
4/3/20,24,38,44,57,58,17,4
3/31/20,08,17,51,57,70,2,4
3/27/20,03,25,28,50,60,1,4
3/24/20,02,08,16,18,31,14,2
3/20/20,34,35,41,45,54,5,4
3/17/20,20,27,28,58,59,25,3
3/13/20,07,22,37,43,44,22,4
3/10/20,06,17,48,54,69,12,5
3/6/20,15,48,56,58,70,4,4
3/3/20,08,12,33,56,64,2,2
2/28/20,02,03,14,41,64,17,2
2/25/20,02,09,43,49,63,15,2
2/21/20,04,07,13,16,60,6,4
2/18/20,06,12,39,61,70,4,3
2/14/20,10,32,48,54,55,18,5
2/11/20,04,06,32,52,64,6,2
2/7/20,09,14,27,36,52,4,3
2/4/20,32,48,50,51,64,10,2
1/31/20,28,31,33,57,62,19,2
1/28/20,17,36,47,51,62,21,3
1/24/20,03,04,18,23,38,24,4
1/21/20,16,18,29,31,37,8,3
1/17/20,03,25,30,54,70,9,3
1/14/20,09,11,13,31,47,11,2
1/10/20,17,27,49,51,66,2,2
1/7/20,25,40,41,52,56,21,4
1/3/20,37,41,42,53,63,16,2
12/31/19,30,44,49,53,56,11,3
12/27/19,17,34,40,63,64,24,4
12/24/19,27,37,48,63,66,11,2
12/20/19,03,20,23,35,60,16,3
12/17/19,22,30,53,55,56,16,2
12/13/19,17,21,29,39,56,22,3
12/10/19,18,31,46,54,61,25,2
12/6/19,20,31,40,46,61,20,5
12/3/19,23,43,60,63,69,19,2
11/29/19,06,08,31,50,65,9,2
11/26/19,08,27,29,38,43,13,2
11/22/19,07,12,17,49,53,24,4
11/19/19,22,43,44,47,66,22,3
11/15/19,12,19,34,35,68,20,2
11/12/19,19,30,44,56,65,24,2
11/8/19,03,04,10,39,58,14,3
11/5/19,02,09,24,49,54,19,3
11/1/19,09,20,36,41,54,22,2
10/29/19,04,09,17,27,39,22,2
10/25/19,16,24,25,52,60,6,3
10/22/19,05,11,14,23,25,10,4
10/18/19,18,58,60,65,67,20,3
10/15/19,04,12,14,35,70,2,2
10/11/19,14,22,30,37,60,8,3
10/8/19,05,08,10,17,48,23,3
10/4/19,11,38,44,48,70,17,2
10/1/19,10,17,39,42,59,3,2
9/27/19,12,20,31,43,45,20,3
9/24/19,06,14,24,42,46,9,4
9/20/19,23,24,42,48,53,22,2
9/17/19,12,15,30,50,65,1,4
9/13/19,06,16,37,59,62,5,2
9/10/19,34,47,48,50,55,24,2
9/6/19,04,11,13,19,31,10,4
9/3/19,13,20,27,61,62,5,2
8/30/19,03,09,11,34,39,10,4
8/27/19,08,12,23,39,43,6,2
8/23/19,11,15,37,54,68,21,2
8/20/19,08,14,25,51,63,4,3
8/16/19,04,14,24,26,46,14,2
8/13/19,07,27,31,34,51,5,3
8/9/19,15,53,56,59,63,1,2
8/6/19,11,17,31,43,55,16,2
8/2/19,11,20,26,48,70,19,2
7/30/19,10,24,28,33,38,6,3
7/26/19,04,06,11,43,48,11,3
7/23/19,01,04,23,40,45,11,2
7/19/19,16,18,28,33,67,14,3
7/16/19,08,16,31,48,52,23,3
7/12/19,08,25,38,56,59,7,2
7/9/19,12,26,40,48,64,1,2
7/5/19,06,38,47,57,63,12,2
7/2/19,03,25,37,40,55,13,2
6/28/19,02,35,49,53,63,1,2
6/25/19,24,33,45,47,61,17,3
6/21/19,13,30,36,48,62,18,3
6/18/19,12,14,22,24,48,21,2
6/14/19,19,40,47,57,65,6,2
6/11/19,20,34,39,43,57,13,3
6/7/19,17,19,27,40,68,2,3
6/4/19,25,37,46,48,68,25,2
5/31/19,07,08,26,65,67,4,3
5/28/19,09,21,34,42,50,21,2
5/24/19,14,41,44,56,62,10,2
5/21/19,10,50,55,56,58,15,5
5/17/19,05,17,28,32,63,11,3
5/14/19,11,59,66,67,68,18,4
5/10/19,03,16,21,61,62,19,2
5/7/19,03,06,34,54,63,19,3
5/3/19,08,16,22,66,68,11,2
4/30/19,24,37,41,61,70,20,3
4/26/19,09,17,23,30,46,10,4
4/23/19,07,24,30,48,67,9,4
4/19/19,18,25,43,44,57,25,4
4/16/19,11,29,34,48,54,10,2
4/12/19,01,24,25,40,70,4,2
4/9/19,11,22,34,44,58,9,2
4/5/19,08,22,24,38,64,21,2
4/2/19,33,47,58,59,64,25,3
3/29/19,05,14,15,62,66,3,3
3/26/19,04,14,22,43,58,9,3
3/22/19,07,36,58,60,62,10,3
3/19/19,10,42,53,67,68,15,3
3/15/19,03,29,56,62,64,4,3
3/12/19,10,12,16,49,57,18,4
3/8/19,04,09,42,62,68,7,4
3/5/19,15,20,32,37,52,6,3
3/1/19,29,33,39,60,66,21,2
2/26/19,10,12,14,24,60,20,3
2/22/19,18,24,31,34,55,4,4
2/19/19,17,24,34,56,65,3,2
2/15/19,10,38,40,43,65,12,2
2/12/19,15,32,39,50,65,7,3
2/8/19,14,24,31,42,48,13,3
2/5/19,03,34,36,59,66,7,2
2/1/19,02,37,48,66,68,11,5
1/29/19,10,33,53,54,62,22,2
1/25/19,08,16,30,38,61,10,2
1/22/19,04,15,37,59,64,16,5
1/18/19,02,43,48,62,64,24,3
1/15/19,29,52,58,60,62,7,2
1/11/19,04,05,31,62,69,20,3
1/8/19,13,26,29,38,64,5,5
1/4/19,21,29,35,54,60,15,4
1/1/19,34,44,57,62,70,14,4
12/28/18,09,10,25,37,38,21,2
12/25/18,02,08,42,43,50,6,3
12/21/18,10,13,61,62,70,5,3
12/18/18,13,22,32,60,69,9,3
12/14/18,05,22,26,43,49,23,4
12/11/18,04,38,39,54,59,12,2
12/7/18,04,10,20,33,57,13,3
12/4/18,28,31,41,42,50,4,3
11/30/18,25,28,40,43,63,19,3
11/27/18,12,24,37,42,57,18,4
11/23/18,07,10,30,33,59,23,4
11/20/18,10,16,31,42,66,10,3
11/16/18,33,36,63,68,69,16,3
11/13/18,34,46,57,65,69,11,3
11/9/18,08,14,27,57,67,5,4
11/6/18,28,34,37,56,69,12,2
11/2/18,03,23,28,46,62,16,2
10/30/18,20,31,39,46,49,23,2
10/26/18,01,28,61,62,63,5,4
10/23/18,05,28,62,65,70,5,3
10/19/18,15,23,53,65,70,7,2
10/16/18,03,45,49,61,69,9,5
10/12/18,04,24,46,61,70,7,3
10/9/18,20,22,39,54,60,18,3
10/5/18,27,28,32,41,69,12,2
10/2/18,02,22,29,31,34,1,3
9/28/18,39,45,52,56,59,15,3
9/25/18,08,16,32,48,61,12,2
9/21/18,01,02,11,52,64,9,4
9/18/18,31,32,43,63,68,17,2
9/14/18,23,30,40,43,66,13,4
9/11/18,15,30,51,62,67,19,2
9/7/18,08,10,41,54,68,10,2
9/4/18,02,07,25,35,44,3,3
8/31/18,07,18,29,32,45,17,3
8/28/18,03,20,33,34,41,20,3
8/24/18,01,06,13,18,49,8,2
8/21/18,14,16,19,38,57,11,3
8/17/18,01,31,32,47,56,3,2
8/14/18,11,26,44,45,46,11,2
8/10/18,01,03,12,22,42,6,5
8/7/18,02,13,15,21,62,2,5
8/3/18,09,28,30,54,60,2,2
7/31/18,12,15,35,64,69,9,2
7/27/18,01,32,40,49,63,20,3
7/24/18,01,02,04,19,29,20,3
7/20/18,01,14,30,44,62,1,2
7/17/18,40,41,61,66,67,12,5
7/13/18,21,22,39,59,68,2,2
7/10/18,01,17,28,56,70,14,3
7/6/18,02,10,46,50,56,16,3
7/3/18,13,35,45,49,68,23,2
6/29/18,02,32,47,49,68,23,4
6/26/18,17,25,29,39,60,19,2
6/22/18,02,06,11,27,44,20,2
6/19/18,11,13,28,65,70,14,3
6/15/18,01,11,37,47,51,6,2
6/12/18,01,03,05,08,70,3,2
6/8/18,14,30,33,44,56,13,2
6/5/18,22,33,41,48,52,4,2
6/1/18,05,24,52,62,66,17,3
5/29/18,02,11,55,58,67,2,3
5/25/18,11,14,51,64,68,25,4
5/22/18,16,17,21,36,48,9,3
5/18/18,09,26,53,64,66,11,2
5/15/18,21,34,44,49,61,21,2
5/11/18,14,38,40,53,70,22,3
5/8/18,08,15,39,64,67,13,2
5/4/18,04,05,10,12,18,21,4
5/1/18,02,07,20,55,70,1,4
4/27/18,02,29,38,63,66,11,2
4/24/18,03,19,31,32,48,10,3
4/20/18,01,15,18,32,45,4,2
4/17/18,12,34,44,47,65,22,4
4/13/18,08,09,32,42,59,10,4
4/10/18,05,13,31,43,53,20,2
4/6/18,16,33,51,54,67,20,4
4/3/18,04,29,39,42,62,14,2
3/30/18,11,28,31,46,59,1,3
3/27/18,07,25,43,56,59,13,3
3/23/18,04,08,23,53,59,17,3
3/20/18,14,38,51,64,70,9,3
3/16/18,01,13,26,33,52,11,3
3/13/18,06,30,58,60,61,17,5
3/9/18,07,17,18,46,66,22,4
3/6/18,01,04,26,35,39,22,5
3/2/18,24,28,42,60,64,8,4
2/27/18,10,17,21,38,43,23,3
2/23/18,07,11,13,19,58,9,4
2/20/18,17,19,23,24,43,14,3
2/16/18,14,38,48,53,58,16,3
2/13/18,05,12,15,46,49,1,4
2/9/18,28,34,41,46,47,14,3
2/6/18,14,17,25,48,58,25,3
2/2/18,01,04,14,17,40,4,3
1/30/18,29,41,42,49,57,24,3
1/26/18,10,16,27,38,43,1,4
